Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
7368,Operation Armored Liberty,operation-armored-liberty,Action,T,GBA,Majesco,Majesco Games,,,,,0.27,0.19,0.07,,0.0,2003.0,,http://www.vgchartz.com/game/27840/operation-armored-liberty/?region=All,1,,/games/boxart/full_1947026AmericaFrontccc.jpg
7369,Divinity: Dragon Commander,divinity-dragon-commander,Role-Playing,,PC,Unknown,Larian Studios,,,,0.27,,,,,,2003.0,18th Feb 19,http://www.vgchartz.com/game/223631/divinity-dragon-commander/?region=All,1,,/games/boxart/full_6320495AmericaFrontccc.jpg
7370,Hatsune Miku: Project Diva F 2nd,hatsune-miku-project-diva-f-2nd,Music,T,PS3,Sega,Sega,,,,,0.27,0.1,0.03,0.1,0.03,2014.0,24th Oct 18,http://www.vgchartz.com/game/79687/hatsune-miku-project-diva-f-2nd/?region=All,1,,/games/boxart/full_2524616AmericaFrontccc.jpg
7371,My Japanese Coach,my-japanese-coach,Misc,E,DS,Ubisoft,Ubisoft,,,,,0.27,0.24,0.0,,0.02,2008.0,,http://www.vgchartz.com/game/25937/my-japanese-coach/?region=All,1,,/games/boxart/full_2046601AmericaFrontccc.jpg
7372,Are You Smarter than a 5th Grader? Game Time,are-you-smarter-than-a-5th-grader-game-time,Puzzle,E,Wii,THQ,THQ,,,,,0.27,0.25,,,0.02,2009.0,,http://www.vgchartz.com/game/38302/are-you-smarter-than-a-5th-grader-game-time/?region=All,1,,/games/boxart/full_7868316AmericaFrontccc.jpg
7373,Friday the 13th: The Game,friday-the-13th-the-game,Action,M,XOne,Gun Media,IllFonic,,,,,0.27,0.21,0.03,,0.03,2017.0,30th May 18,http://www.vgchartz.com/game/193508/friday-the-13th-the-game/?region=All,1,,/games/boxart/full_315896AmericaFrontccc.jpg
7374,America's Test Kitchen: Let's Get Cooking,americas-test-kitchen-lets-get-cooking,Simulation,E,DS,Nintendo,Indies Zero,,8.5,,,0.27,0.25,,,0.02,2010.0,,http://www.vgchartz.com/game/42495/americas-test-kitchen-lets-get-cooking/?region=All,1,,/games/boxart/full_5653915AmericaFrontccc.jpg
7375,And1 Streetball,and1-streetball,Sports,E10,PS2,Ubisoft,Black Ops Entertainment,,,,,0.27,0.13,0.1,,0.03,2006.0,,http://www.vgchartz.com/game/79/and1-streetball/?region=All,1,,/games/boxart/full_2792740AmericaFrontccc.jpg
7376,Atelier Ayesha: The Alchemist of Dusk,atelier-ayesha-the-alchemist-of-dusk,Role-Playing,T,PS3,Tecmo Koei,Gust,,,,,0.27,0.06,0.04,0.14,0.02,2013.0,02nd Jan 18,http://www.vgchartz.com/game/70822/atelier-ayesha-the-alchemist-of-dusk/?region=All,1,,/games/boxart/full_8695875AmericaFrontccc.jpg
7377,Aikatsu! 2-nin no My Princess,aikatsu-2-nin-no-my-princess,Simulation,,3DS,Namco Bandai Games,Bandai Namco Games,,,,,0.27,,,0.27,,2013.0,24th Oct 18,http://www.vgchartz.com/game/77453/aikatsu-2-nin-no-my-princess/?region=All,1,,/games/boxart/full_5905940JapanFrontccc.jpg
7378,Day of the Tentacle Remastered,day-of-the-tentacle-remastered,Adventure,,PC,Unknown,Double Fine Productions,,,,0.27,,,,,,2013.0,18th Feb 19,http://www.vgchartz.com/game/223632/day-of-the-tentacle-remastered/?region=All,1,,/games/boxart/full_3808555AmericaFrontccc.jpg
7379,Sonic X: Game Boy Advance Video Volume 1,sonic-x-game-boy-advance-video-volume-1,Misc,,GBA,Majesco,Majesco Games,,,,,0.27,0.19,0.07,,0.0,2004.0,,http://www.vgchartz.com/game/28397/sonic-x-game-boy-advance-video-volume-1/?region=All,1,,/games/boxart/full_2534204AmericaFrontccc.jpg
7380,ESPN NBA Basketball,espn-nba-basketball,Sports,E,XB,Sega,Visual Concepts,,,,,0.27,0.2,0.06,,0.01,2003.0,,http://www.vgchartz.com/game/660/espn-nba-basketball/?region=All,1,,/games/boxart/1092540ccc.jpg
7381,Gallop Racer 2: One and Only Road to Victory,gallop-racer-2-one-and-only-road-to-victory,Sports,,PS,Tecmo,Tecmo,,,,,0.27,,,0.25,0.02,1997.0,,http://www.vgchartz.com/game/3380/gallop-racer-2-one-and-only-road-to-victory/?region=All,1,,/games/boxart/full_3730133JapanFrontccc.jpg
7382,Mega Man Legacy Collection,mega-man-legacy-collection,Platform,E,XOne,Capcom,Digital Eclipse Software,,,,0.27,,,,,,2015.0,29th May 18,http://www.vgchartz.com/game/85881/mega-man-legacy-collection/?region=All,1,,/games/boxart/full_7618466AmericaFrontccc.jpg
7383,Tales of Eternia,tales-of-eternia,Role-Playing,,PSP,Ubisoft,Namco,,8.0,,,0.26,,0.01,0.25,0.0,2006.0,,http://www.vgchartz.com/game/4503/tales-of-eternia/?region=All,1,,/games/boxart/full_8029433PALFrontccc.jpg
7384,Project CARS 2,project-cars-2,Racing,,PC,Namco Bandai Games,Slightly Mad Studios,,,,0.26,,,,,,2017.0,,http://www.vgchartz.com/game/189461/project-cars-2/?region=All,1,,/games/boxart/full_7469883AmericaFrontccc.jpg
